title,cast
Indiana Jones and the Raiders of the Lost Ark," Harrison Ford
, Karen Allen
, Paul Freeman
, Ronald Lacey
, John Rhys-Davies
, Denholm Elliott
, Alfred Molina
, Wolf Kahler
, Anthony Higgins
, Vic Tablian
, Don Fellows
, William Hootkins
, Bill Reimbold
, Fred Sorenson
, Patrick Durkin
, Matthew Scurfield
, Malcolm Weaver
, Sonny Caldinez
, Anthony Chinn
, Pat Roach
, Christopher Frederick
, Tutte Lemkow
, Ishaq Bux
, Kiran Shah
, Souad Messaoudi
, Terry Richards
, Steve Hanson
, Frank Marshall
, Martin Kreidt
, George Harris
, Eddie Tagoe
, John Rees
, Tony Vogel
, Ted Grossman
, Vic Armstrong
, Alan Austen
, Roy Beck
, Darrell Brook
, Russell Brook
, Darin Chambers
, Pola Churchill
, Peter Diamond
, Harry Fielder
, Nick Gillard
, Romo Gorrara
, Reg Harding
, Barrie Holland
, Billy Horrigan
, Josh.Ag
, Terry Leonard
, Rick Lester
, Sergio Mioni
, Dennis Muren
, Bob Papenbrook
, Chris Parsons
, Glenn Randall Jr.
, Peter Ross-Murray
, Michael Sheard
, Rocky Taylor
, Frank Welker
"
The Great Dictator," Charles Chaplin
, Jack Oakie
, Reginald Gardiner
, Henry Daniell
, Billy Gilbert
, Grace Hayle
, Carter DeHaven
, Paulette Goddard
, Maurice Moscovitch
, Emma Dunn
, Bernard Gorcey
, Paul Weigel
, Chester Conklin
, Esther Michelson
, Hank Mann
, Florence Wright
, Eddie Gribbon
, Rudolph Anders
, Eddie Dunn
, Nita Pike
, George Lynn
, Wheeler Dryden
, John Alban
, Fred Aldrich
, Richard Alexander
, Sig Arno
, William Arnold
, Walter Bacon
, Brandon Beach
, Joe Bordeaux
, Chet Brandenburg
, Don Brodie
, James Carlisle
, Tom Coleman
, Hans Conried
, Gino Corrado
, Oliver Cross
, John Davidson
, Max Davidson
, Lew Davis
, Francis Ernest Drake
, Pat Flaherty
, Bud Geary
, Jack Gordon
, Herschel Graham
, Sam Harris
, Eddie Hart
, Leyland Hodgson
, William Irving
, Charles Irwin
, Ethelreda Leopold
, Clyde McLeod
, Russell Meeker
, Torben Meyer
, Jules Michelson
, Bert Moorhouse
, George Nardelli
, Nellie V. Nichols
, Manuel París
, Jack Perrin
, Alexander Pollard
, Lucien Prival
, John Rice
, Cyril Ring
, Wyn Ritchie Evans
, Henry Roquemore
, Tiny Sandford
, Francesca Santoro
, Hans Schumm
, Harry Semels
, Count Stefenelli
, Bert Stevens
, Charles Sullivan
, Carl Voss
, Leonard Walker
, Leo White
, Harry Wilson
"
Memento," Guy Pearce
, Carrie-Anne Moss
, Joe Pantoliano
, Mark Boone Junior
, Russ Fega
, Jorja Fox
, Stephen Tobolowsky
, Harriet Sansom Harris
, Thomas Lennon
, Callum Keith Rennie
, Kimberly Campbell
, Marianne Muellerleile
, Larry Holden
, Stephanie Searson
, Buzz Visconti
"
Apocalypse Now," Marlon Brando
, Martin Sheen
, Robert Duvall
, Frederic Forrest
, Sam Bottoms
, Laurence Fishburne
, Albert Hall
, Harrison Ford
, Dennis Hopper
, G.D. Spradlin
, Jerry Ziesmer
, Scott Glenn
, Bo Byers
, James Keane
, Kerry Rossall
, Ron McQueen
, Tom Mason
, Cynthia Wood
, Colleen Camp
, Linda Carpenter
, Jack Thibeau
, Glenn Walken
, George Cantero
, Damien Leake
, Herb Rice
, William Upton
, Larry Carney
, Marc Coppola
, Daniel Kiewit
, Father Elias
, Bill Graham
, Hattie Bell
, Jerry Ross
, Dick White
, Christian Marquand
, Aurore Clément
, Michel Pitton
, Frank Villard
, David Olivier
, Chrystel Le Pelletier
, Robert Julian
, Yvon LeSeaux
, Roman Coppola
, Gian-Carlo Coppola
, Henri Sadardeil
, Gilbert Renkens
, Don Gordon Bell
, Francis Ford Coppola
, R. Lee Ermey
, Joe Estevez
, Larry Franco
, Jim Gaines
, Paul Lambert
, Evan A. Lottman
, Nick Nicholson
, Linn Phillips III
, Charles Robinson
, Sebastián Roque
, Pierre Segui
, Vittorio Storaro
, Henry Strzalkowski
, Lonnie 'Lono' Woodley
"
Alien," Tom Skerritt
, Sigourney Weaver
, Veronica Cartwright
, Harry Dean Stanton
, John Hurt
, Ian Holm
, Yaphet Kotto
, Bolaji Badejo
, Helen Horton
, Eddie Powell
"
Rear Window," James Stewart
, Grace Kelly
, Wendell Corey
, Thelma Ritter
, Raymond Burr
, Judith Evelyn
, Ross Bagdasarian
, Georgine Darcy
, Sara Berner
, Frank Cady
, Jesslyn Fax
, Rand Harper
, Irene Winston
, Havis Davenport
, Jerry Antes
, Barbara Bailey
, Benny Bartlett
, Nick Borgani
, Sue Casey
, Iphigenie Castiglioni
, James Cornell
, Don Dunning
, Marla English
, Bess Flowers
, Art Gilmore
, Fred Graham
, Kathryn Grant
, Charles Harvey
, Len Hendry
, Alfred Hitchcock
, Harry Landers
, Alan Lee
, Mike Mahoney
, Jonni Paris
, Eddie Parker
, Robert Sherman
, Dick Simmons
, Ralph Smiley
, Jack Stoney
, Anthony Warde
, Gig Young
"
Cinema Paradiso," Antonella Attili
, Enzo Cannavale
, Isa Danieli
, Leo Gullotta
, Marco Leonardi
, Pupella Maggio
, Agnese Nano
, Leopoldo Trieste
, Salvatore Cascio
, Tano Cimarosa
, Nicola Di Pinto
, Roberta Lena
, Nino Terzo
, Jacques Perrin
, Philippe Noiret
, Nellina Laganà
, Turi Giuffrida
, Mariella Lo Giudice
, Giorgio Libassi
, Beatrice Palme
, Ignazio Pappalardo
, Angela Leontini
, Mimmo Mignemi
, Margherita Mignemi
, Giuseppe Pellegrino
, Turi Killer
, Angelo Tosto
, Concetta Borpagano
, Franco Catalano
, Brigitte Fossey
, Giuseppe Tornatore
"
Casablanca," Humphrey Bogart
, Ingrid Bergman
, Paul Henreid
, Claude Rains
, Conrad Veidt
, Sydney Greenstreet
, Peter Lorre
, S.Z. Sakall
, Madeleine Lebeau
, Dooley Wilson
, Joy Page
, John Qualen
, Leonid Kinskey
, Curt Bois
, Abdullah Abbas
, Enrique Acosta
, Ed Agresti
, Arnet Amos
, Louis V. Arco
, Frank Arnold
, Brandon Beach
, Leon Belasco
, Nino Bellini
, Trude Berliner
, Oliver Blake
, Monte Blue
, Eugene Borden
, Dick Botiller
, Maurice Brierre
, Anita Camargo
, George M. Carleton
, Spencer Chan
, Melie Chang
, Tex Cooper
, Gino Corrado
, Franco Corsaro
, Adrienne D'Ambricourt
, Marcel Dalio
, Helmut Dantine
, Jean De Briac
, George Dee
, Jean Del Val
, Carl Deloro
, Joseph DeVillard
, Arthur Dulac
, William Edmunds
, Herbert Evans
, Fred Farrell
, O.K. Ford
, Martin Garralaga
, Gregory Gaye
, Gregory Golubeff
, Ilka Grüning
, Creighton Hale
, Winifred Harris
, Jamiel Hasson
, Arthur Stuart Hull
, Olaf Hytten
, Paul Irving
, Kay Koury
, Charles La Torre
, George J. Lewis
, Max Linder
, Manuel Lopez
, Jacques Lory
, Lou Marcelle
, Michael Mark
, Tony Martelli
, Frank Mazzola
, George Meeker
, Lal Chand Mehra
, Hercules Mendez
, Louis Mercier
, Torben Meyer
, Mike Morelli
, Alberto Morin
, Leo Mostovoy
, Corinna Mura
, Sol Murgi
, Barry Norton
, Monty O'Grady
, Lotte Palfi Andor
, Paul Panzer
, Manuel París
, Alexander Pollard
, Paul Porcasi
, Frank Puglia
, Georges Renavent
, Dewey Robinson
, Victor Romito
, Henry Rowland
, Richard Ryen
, Dan Seymour
, Nick Shaid
, Lester Sharpe
, Bhogwan Singh
, Dina Smirnova
, Gerald Oliver Smith
, George Sorel
, Geoffrey Steele
, Ludwig Stössel
, Mike Tellegen
, Sid Troy
, Rafael Trujillo
, Jacques Vanaire
, Ellinor Vanderveer
, Norma Varden
, Hans Heinrich von Twardowski
, Leo White
, Jack Wise
, Wolfgang Zilzer
"
Once Upon a Time in the West," Claudia Cardinale
, Henry Fonda
, Jason Robards
, Charles Bronson
, Gabriele Ferzetti
, Paolo Stoppa
, Woody Strode
, Jack Elam
, Keenan Wynn
, Frank Wolff
, Lionel Stander
, Livio Andronico
, Salvatore Basile
, Aldo Berti
, Joseph Bradley
, Frank Braña
, Marilù Carteny
, Saturno Cerra
, Luigi Ciavarro
, Spartaco Conversi
, Bruno Corazzari
, Bill Crawley
, Paolo Figlia
, John Frederick
, Don Galloway
, Michael Harvey
, Robert Hossein
, Stefano Imparato
, Francesca Leone
, Raffaella Leone
, Frank Leslie
, Luigi Magnani
, Claudio Mancini
, Dino Mele
, Antonio Molino Rojo
, Enrico Morsella
, Umberto Morsella
, Al Mulock
, Ricardo Palacios
, Tullio Palmieri
, Antonio Palombi
, Renato Pinciroli
, Lorenzo Robledo
, Sandra Salvatori
, Aldo Sambrell
, Conrado San Martín
, Enzo Santaniello
, Simonetta Santaniello
, Claudio Scarchilli
, Giovanni Ivan Scratuglia
, Robert Spafford
, Benito Stefanelli
, Luana Strode
, Fabio Testi
, Dino Zamboni
, Marco Zuanelli
"
The Prestige," Hugh Jackman
, Christian Bale
, Michael Caine
, Piper Perabo
, Rebecca Hall
, Scarlett Johansson
, Samantha Mahurin
, David Bowie
, Andy Serkis
, Daniel Davis
, Jim Piddock
, Christopher Neame
, Mark Ryan
, Roger Rees
, Jamie Harris
, Monty Stuart
, Ron Perkins
, Ricky Jay
, J. Paul Moore
, Anthony De Marco
, Chao Li Chi
, Gregory Humphreys
, John B. Crye
, William Morgan Sheppard
, Sean Howse
, Julia Sanford
, Ezra Buzzington
, James Lancaster
, Olivia Merg
, Zoe Merg
, Johnny Liska
, Russ Fega
, Kevin Will
, Edward Hibbert
, Christopher Judges
, James Otis
, Sam Menning
, Brian Tahash
, Scott Davis
, Jodi Bianca Wise
, Nikki Glick
, Enn Reitel
, Clive Kennedy
, Robert W. Arbogast
, Chris Cleveland
, Rock Anthony
, Cathy Beasley
, Basilina Butler
, Marty Carroll
, Erin Cipolletti
, Bud Joseph Hebert
, Ernest Heinz
, Nick Kellington
, Tim Pilleri
, Wendy Rosoff
, Gary Sievers
, Inna Swann
, Dawn Upshaw
, Deanna Walsh
, Jesse Wilde
"
Grave of the Fireflies," Tsutomu Tatsumi
, Ayano Shiraishi
, Yoshiko Shinohara
, Akemi Yamaguchi
, Kôzô Hashida
, Masayo Sakai
, Kazumi Nozaki
, Yoshio Matsuoka
, Masahiro Kanetake
, Kiyoshi Yanagawa
, Hajime Maki
, Atsuo Omote
, Teruhisa Harita
, Hiroshi Tanaka
, Michio Denpô
, Shirô Tamaki
, Tadashi Nakamura
, Mika Sekita
, Mariko Miyamoto
, Atsushi Matsumoto
, Haruko Matsuda
, Keiko Ueda
, Kazuhiko Takeoka
, Kiyomi Ajisaka
, Makio Ueno
, Toyokazu Hiramatsu
, Kyôko Moriwaki
, Takashi Shimatani
, Ryûji Sanada
, Tamotsu Kuni
, Haruo Kaji
, Toshiko Ama
, Makoto Kobayashi
, Ken'ichi Sawada
, Ikuo Kokubu
, Yûsuke Yokoyama
, Yoshinaga Fusamoto
, Kôshirô Tanimoto
, Masato Moriya
, Tetsurô Nakayama
, Naoki Fujita
, Masafumi Jôno
, Tsukasa Ban
, Makiko Kinoshita
, Senkoku Yukuhara
, Yûko Kurokawa
, Mayumi Kawaguchi
, J. Robert Spencer
, Corinne Orr
, Amy Jones
, Veronica Taylor
, Nick Sullivan
, Shannon Conley
, Crispin Freeman
, George Leaver
, Dan Green
, Adam Gibbs
, Emily Neves
, Marcy Bannor
, Shelley Calene-Black
, Luci Christian
, Justin Doran
, Susan O. Koozin
, Andrew Love
, David Matranga
, Rob Mungle
, Sam Roman
, Blake Shepard
, David Wald
"
Whiplash," Miles Teller
, J.K. Simmons
, Paul Reiser
, Melissa Benoist
, Austin Stowell
, Nate Lang
, Chris Mulkey
, Damon Gupton
, Suanne Spoke
, Max Kasch
, Charlie Ian
, Jayson Blair
, Kofi Siriboe
, Kavita Patil
, C.J. Vana
, Tarik Lowe
, Tyler Kimball
, Rogelio Douglas Jr.
, Adrian Burks
, Calvin C. Winbush
, Joseph Bruno
, Michael D. Cohen
, Jocelyn Ayanna
, Keenan Henson
, Janet Hoskins
, April Grace
, Clifton 'Fou Fou' Eddie
, Marcus Henderson
, Tony Baker
, Henry G. Sanders
, Sam Campisi
, Jimmie Kirkpatrick
, Keenan Allen
, Ayinde Vaughan
, Shai Golan
, Yancey Wells
, Candace Roberge
, Krista Kilber
, Shannon Adawn
, Cici Leah Campbell
, Damien Coates
, Ellee Jane Hounsell
, Stephen Hsu
, Herman Johansen
, Wendee Lee
, Dakota Lupo
, Jesse Mitchell
, Arnold Montey
, Amanda Newman
, Joseph Oliveira
, Brandon Eugene Owens
, Aaron Reihs
, Michelle Ruff
, Alex Stark
, Tian Wang
, Daniel Weidlein
"
The Intouchables," François Cluzet
, Omar Sy
, Anne Le Ny
, Audrey Fleurot
, Joséphine de Meaux
, Clotilde Mollet
, Alba Gaïa Bellugi
, Cyril Mendy
, Salimata Kamate
, Absa Diatou Toure
, Grégoire Oestermann
, Dominique Daguier
, François Caron
, Christian Ameri
, Thomas Solivérès
, Dorothée Brière
, Marie-Laure Descoureaux
, Émilie Caen
, Sylvain Lazard
, Jean-François Cayrey
, Ian Fenelon
, Renaud Barse
, François Bureloup
, Nicky Marbot
, Benjamin Baroche
, Jérôme Pauwels
, Antoine Laurent
, Fabrice Mantegna
, Hedi Bouchenafa
, Caroline Bourg
, Michel Winogradoff
, Kévin Wamo
, Elliot Latil
, Alain Anthony
, Dominique Henry
, Le Capriccio Français
, Philippe Le Fevre
, Yun-Ping He
, Pierre-Laurent Barneron
, Philippe Pozzo di Borgo
, Abdel Sellou
"
City Lights," Virginia Cherrill
, Florence Lee
, Harry Myers
, Al Ernest Garcia
, Hank Mann
, Charles Chaplin
, Jack Alexander
, T.S. Alexander
, Victor Alexander
, Albert Austin
, Harry Ayers
, Eddie Baker
, Henry Bergman
, Edward Biby
, Betty Blair
, Buster Brodie
, Jeanne Carpenter
, Marie Cooper
, Tom Dempsey
, Peter Diego
, James Donnelly
, Ray Erlenborn
, Ruth Garcia
, Milton Gowman
, Robert Graves
, Charles Hammond
, Jean Harlow
, Ad Herman
, Joseph Herrick
, Austen Jewell
, Willie Keeler
, A.B. Lane
, Eddie McAuliffe
, Leila McIntyre
, George Nardelli
, Margaret Oliver
, Robert Parrish
, Mrs. Pope
, John Rand
, Granville Redmond
, Wyn Ritchie Evans
, W.C. Robinson
, James Sheldon
, Cy Slocum
, Tony Stabenau
, Mark Strong
, Jack Sutherland
, Joe Van Meter
, Emmett Wagner
, Tiny Ward
, Stanhope Wheatcroft
"
The Departed," Leonardo DiCaprio
, Matt Damon
, Jack Nicholson
, Mark Wahlberg
, Martin Sheen
, Ray Winstone
, Vera Farmiga
, Anthony Anderson
, Alec Baldwin
, Kevin Corrigan
, James Badge Dale
, David O'Hara
, Mark Rolston
, Robert Wahlberg
, Kristen Dalton
, Thomas B. Duffy
, Richard Hughes
, J.C. MacKenzie
, Mary Klug
, Peg Holzemer
, Robert 'Toshi' Kar Yuen Chan
, Gurdeep Singh
, Armen Garo
, John Cenatiempo
, Joseph Riccobene
, Billy Smith
, Lyman Chen
, Kevin P. McCarthy
, Chris Fischer
, Brian Smyj
, William Severs
, Larry Mitchell
, Anthony Estrella
, Andrew Breving
, Tracey Paleo
, Douglas Crosby
, Dorothy Lyman
, Audrie Neenan
, Frank Mallicoat
, Paula DeMers
, Conor Donovan
, Amanda Lynch
, Sallie Toussaint
, Patrick Coppola
, Mick O'Rourke
, Deborah Carlson
, Nellie Sciutto
, Peter Welch
, Henry Yuk
, Dennis Lynch
, Michael Byron
, William Lee
, John Rue
, Peter Crafts
, Joseph P. Reidy
, John Farrer
, Paris Karounos
, Brian Haley
, Terry Serpico
, Jay Giannone
, John Polce
, Bo Cleary
, David Conley
, Victor Chan
, Jill Brown
, Sarah Fearon
, Tom Kemp
, Denece Ryland
, Zachary Pauliks
, Daniel F. Risteen Jr.
, Francis P. Hughes
, Johnny Cicco
, Chance Kelly
, Shay Duffin
, John McConnell
, Kenneth Stoddard
, Jeffrey Winter
, Paddy Curran
, Mark Philip Patrick
, David Fischer
, Walter Y.F. Wong
, Tony M. Yee
, Francesca Scorsese
, Alex Morris
, Emma Tillinger Koskoff
, Craig Castaldo
, Ashley Acarino
, Angelis Alexandris
, James P. Anderson
, Andrew Aninsman
, Razmig Arabian
, Sybil Azur
, Dion Baia
, Takumi Bando
, Vincent Bivona
, Eric Bruno Borgman
, David Boston
, Tracey Brennan
, Joshua Brown
, Brendan Burke
, Shana Carr
, Chris Chinn
, Vic Clay
, Desiree April Connolly
, Jeffrey Corazzini
, Ed Cuffe
, Mike Di Stasio
, Elizabeth Dings
, Buddy Dolan
, Jim Evans
, Mark Falvo
, James Michael Farrell
, Deirdre Fitzpatrick
, Steve Flynn
, Shawn Fogarty
, Jim Ford
, John Franchi
, Lorre Fritchy
, Trudi Goodman
, Mackenzie Hawe
, Mark Hemphill
, Peter Jae
, London Kim
, Ming Ho Kum
, Henry Kwan
, Henry Laun
, Crystal Lisbon
, Steve Lord
, Rebecca Love
, Frank Mancuso
, Oliver Martin
, Adam Masnyk
, Jack McCullough
, Paul McGillicuddy
, Arnold Montey
, Malachy Murray
, Robert Myers
, Joseph Oliveira
, Don Pravda
, Nicolas Quilter
, Ralph Regine
, Osmani Rodriguez
, Alfredo Romeo Suarez
, Steve Scarfo
, Billy Silvia
, John Wayland Somers
, Lawrence Cameron Steele
, Stream
, Kayla Rae Vesce
, Victor Warren
, Donna Wong
, Darryl Wooten
, Kenneth G. Yong
, Gail Yudain
, Joseph Zamparelli
"
Psycho," Anthony Perkins
, Vera Miles
, John Gavin
, Janet Leigh
, Martin Balsam
, John McIntire
, Simon Oakland
, Frank Albertson
, Patricia Hitchcock
, Vaughn Taylor
, Lurene Tuttle
, John Anderson
, Mort Mills
, Fletcher Allen
, Walter Bacon
, Prudence Beers
, Kit Carson
, Francis De Sales
, George Dockstader
, George Eldredge
, Harper Flaherty
, Sam Flint
, Virginia Gregg
, Alfred Hitchcock
, Paul Jasmin
, Lee Kass
, Frank Killmond
, Ted Knight
, Pat McCaffrie
, Hans Moebus
, Jeanette Nolan
, Lillian O'Malley
, Robert Osborne
, Don Ross
, Fred Scheiwiller
, Helen Wallace
"
Modern Times," Charles Chaplin
, Paulette Goddard
, Henry Bergman
, Tiny Sandford
, Chester Conklin
, Hank Mann
, Stanley Blystone
, Al Ernest Garcia
, Richard Alexander
, Cecil Reynolds
, Mira McKinney
, Murdock MacQuarrie
, Wilfred Lucas
, Edward LeSaint
, Fred Malatesta
, Sammy Stein
, Juana Sutton
, Ted Oliver
, Norman Ainsley
, Bobby Barber
, Heinie Conklin
, Gloria DeHaven
, Gloria Delson
, Pat Flaherty
, Gloria Franks
, Frank Hagney
, Chuck Hamilton
, Pat Harmon
, Lloyd Ingraham
, Walter James
, Edward Kimball
, Jack Low
, Buddy Messinger
, Bruce Mitchell
, Frank Moran
, James C. Morton
, Louis Natheaux
, J.C. Nugent
, Russ Powell
, John Rand
, Wyn Ritchie Evans
, Harry Wilson
"
Gladiator," Russell Crowe
, Joaquin Phoenix
, Connie Nielsen
, Oliver Reed
, Richard Harris
, Derek Jacobi
, Djimon Hounsou
, David Schofield
, John Shrapnel
, Tomas Arana
, Ralf Moeller
, Spencer Treat Clark
, David Hemmings
, Tommy Flanagan
, Sven-Ole Thorsen
, Omid Djalili
, Nicholas McGaughey
, Chris Kell
, Tony Curran
, Mark Lewis
, John Quinn
, Alun Raglan
, David Bailie
, Chick Allan
, David J. Nicholls
, Al Ashton
, Billy Dowd
, Ray Calleja
, Giannina Facio
, Giorgio Cantarini
, Allan Corduner
, Michael Mellinger
, Said Amel
, Adam Levy
, Gilly Gilchrist
, Paul Bateman
, Nick Beardshaw
, Corey Booth
, Michael Dickins
, Malcolm Ellul
, James Fiddy
, Peter Francis-Wemyss
, Ruth Frendo
, Kjeld Gogosha-Clark
, Cara Higgins
, Earl Hundt
, Mehdi Kashani
, Tom Kay
, Phil Lowes
, Nic Main
, Ray Mangion
, Antonio Meitin
, João Costa Menezes
, Mike Mitchell
, Arnold Montey
, Antone Pagán
, Norman Campbell Rees
, Neil Roche
, Paul Sacks
, Steve Saunders
, Christopher Say
, Christian Simpson
, Brian Smyj
, Richard Stride
, Tony Tomlinson
, Michael Yale
"
American History X," Edward Norton
, Edward Furlong
, Beverly D'Angelo
, Jennifer Lien
, Ethan Suplee
, Fairuza Balk
, Avery Brooks
, Elliott Gould
, Stacy Keach
, William Russ
, Guy Torry
, Joe Cortese
, Jason Bose Smith
, Antonio David Lyons
, Alex Sol
, Keram Malicki-Sánchez
, Giuseppe Andrews
, Michelle Christine White
, Jonathan Fowler Jr.
, Christopher Masterson
, Nicholas R. Oleson
, Jordan Marder
, Paul Le Mat
, Thomas L. Bellissimo
, Cherish Lee
, Sam Vlahos
, Tara Blanchard
, Anne Lambton
, Steve Wolford
, Richard Noyce
, Danso Gordon
, Jim Norton
, David Basulto
, Alexis Rose Coen
, Kiante Elam
, Paul Hopkins
, Keith Odett
, Paul E. Short
, Nigel Miguel
, Darrell Britt
, Robert 'Duckie' Carpenter
, Sydney 'Big Dawg' Colston
, Hans Cozzens
, John Embry
, Maximillian Kesmodel
, Barbie Marie
, Andre McCoy
, Allie Moss
, Denney Pierce
, Glendon Rich
, Louis E. Rosas
, Sam Sarpong
, Mark Swanson
, Jeremy Sweet
, Selwyn Ward
, Debra Wilson
"
Back to the Future," Michael J. Fox
, Christopher Lloyd
, Lea Thompson
, Crispin Glover
, Thomas F. Wilson
, Claudia Wells
, Marc McClure
, Wendie Jo Sperber
, George DiCenzo
, Frances Lee McCain
, James Tolkan
, J.J. Cohen
, Casey Siemaszko
, Billy Zane
, Harry Waters Jr.
, Donald Fullilove
, Lisa Freeman
, Cristen Kauffman
, Elsa Raven
, Will Hare
, Ivy Bethune
, Jason Marin
, Katherine Britton
, Jason Hervey
, Maia Brewton
, Courtney Gains
, Richard L. Duran
, Jeff O'Haco
, Johnny Green
, Jamie Abbott
, Norman Alden
, Read Morgan
, Sachi Parker
, Robert Krantz
, Gary Riley
, Karen Petrasek
, George 'Buck' Flower
, Tommy Thomas
, Granville 'Danny' Young
, David Harold Brown
, Lloyd L. Tolbert
, Paul Hanson
, Lee Brownfield
, Robert DeLapp
, Charles L. Campbell
, Kiki Ebsen
, Randy Feelgood
, Hal Gausman
, Deborah Harmon
, D'Janine King-Lasky
, Huey Lewis
, John McCook
, Richard Patrick
, Tony Pope
, Eric Stoltz
, Ethel Sway
, Tom Tangen
, Arthur Tovey
, Tom Willett
"
Terminator 2: Judgment Day," Arnold Schwarzenegger
, Linda Hamilton
, Edward Furlong
, Robert Patrick
, Earl Boen
, Joe Morton
, S. Epatha Merkerson
, Castulo Guerra
, Danny Cooksey
, Jenette Goldstein
, Xander Berkeley
, Leslie Hamilton Gearren
, Ken Gibbel
, Robert Winley
, Peter Schrum
, Shane Wilder
, Michael Edwards
, Jared Lounsbery
, Casey Chavez
, Ennalls Berl
, Don Lake
, Richard Vidan
, Tom McDonald
, Jim Palmer
, Guss Williams
, Gwenda Deacon
, Don Stanton
, Dan Stanton
, Colin Patrick Lynch
, Noel Evangelisti
, Nikki Cox
, Lisa Brinegar
, DeVaughn Nixon
, Tony Simotes
, Diane Rodriguez
, Dalton Abbott
, Ron Young
, Charles Robert Brown
, Abdul Salaam El Razzac
, Mike Muscat
, Dean Norris
, Charles A. Tamburro
, J. Rob Jordan
, Terrence Evans
, Denney Pierce
, Mark Christopher Lawrence
, Pat Kouri
, Van Ling
, Michael Albanese
, Ed Arneson
, Bret A. Arnold
, Dean Blanke
, Debra Casey
, Jim Dahl
, Martin DeLuca
, Jennifer Jacono
, Gavin Kelly
, Takao Komine
, Joel Kramer
, Anne Merrem
, Mic Rodgers
, Richard Ruskin
, Scott Shaw
, Steven Stear
, Sven-Ole Thorsen
, Randy Walker
, William Wisher
"
The Pianist," Adrien Brody
, Emilia Fox
, Michal Zebrowski
, Ed Stoppard
, Maureen Lipman
, Frank Finlay
, Jessica Kate Meyer
, Julia Rayner
, Wanja Mues
, Richard Ridings
, Nomi Sharron
, Anthony Milner
, Lucy Skeaping
, Roddy Skeaping
, Ben Harlan
, Thomas Lawinky
, Joachim Paul Assböck
, Roy Smiles
, Paul Bradley
, Daniel Caltagirone
, Andrzej Blumenfeld
, Darian Wawer
, Zbigniew Zamachowski
, Lejb Fogelman
, Detlev von Wangenheim
, Popeck
, Zofia Czerwinska
, Emilio Fernandez
, Udo Kroschwald
, Uwe Rathsam
, Joanna Brodzik
, Katarzyna Bargielowska
, Maja Ostaszewska
, John Bennett
, Cyril Shaps
, Wojciech Smolarz
, Lech Mackiewicz
, Ruth Platt
, Frank-Michael Köbe
, Torsten Flach
, Peter Rappenglück
, Ronan Vibert
, Krzysztof Pieczynski
, Katarzyna Figura
, Valentine Pelka
, Andrew Tiernan
, Tom Strauss
, Thomas Kretschmann
, Cezary Kosinski
, Grzegorz Artman
, Adam Bauman
, Pawel Burczyk
, Zbigniew Dziduch
, Marian Dziedziel
, Nina Franoszek
, Jerzy Góralczyk
, John Keogh
, Jaroslaw Kopaczewski
, Patrick Lanagan
, Dmitri Leshchenko
, Dorota Liliental
, Rafal Mohr
, Andrzej Pieczynski
, Morgane Polanski
, Norbert Rakowski
, Piotr Siejka
, Viola Szen
, Andrzej Szenajch
, Tomasz Tyndyk
, Andrzej Walden
, Zbigniew Walerys
, Maciej Winkler
, Tadeusz Wojtych
, Andrzej Zielinski
, Maurycy Zylber
, Xawery Zylber
, Katrin Butt
, Tomasz Ciszewski
, Rafal Dajbor
, Roman Garbowski
, Anna Gryszka
, Adrian Hood
, Ryszard Kluge
, Maciej Kowalewski
, Ireneusz Machnicki
, Pawel Malaszynski
, Adam Malecki
, Arnold Montey
, Aleksandra Nizynska
, Axel Prahl
, Dagmara Sieminska
, Izabella Szolc
, Dawid Szurmiej
, Borys Szyc
, Malgorzata Trybalska
, Jacek Wolszczak
, Pawel Zdun
"
The Usual Suspects," Stephen Baldwin
, Gabriel Byrne
, Benicio Del Toro
, Kevin Pollak
, Kevin Spacey
, Chazz Palminteri
, Pete Postlethwaite
, Suzy Amis
, Giancarlo Esposito
, Dan Hedaya
, Paul Bartel
, Carl Bressler
, Phillipe Simon
, Jack Shearer
, Christine Estabrook
, Clark Gregg
, Morgan Hunter
, Ken Daly
, Michelle Clunie
, Louis Lombardi
, Frank Medrano
, Ron Gilbert
, Vito D'Ambrosio
, Gene Lythgow
, Bob Elmore
, David Powledge
, Bob Pennetta
, Billy Bates
, Smadar Hanson
, Castulo Guerra
, Peter Rocca
, Bert Williams
, Jaime H. Campos
, John Gillespie
, Johnathan Gorman
, Peter Greene
, Michael McKay
, Christopher McQuarrie
, Ralph Moratz
, Scott B. Morgan
, Mike Nyman
, Grace Sinden
"
Hara-Kiri," Tatsuya Nakadai
, Akira Ishihama
, Shima Iwashita
, Tetsurô Tanba
, Masao Mishima
, Ichirô Nakatani
, Kei Satô
, Yoshio Inaba
, Hisashi Igawa
, Tôru Takeuchi
, Yoshirô Aoki
, Tatsuo Matsumura
, Akiji Kobayashi
, Kôichi Hayashi
, Ryûtarô Gomi
, Jô Azumi
, Nakajirô Tomita
, Shichisaburô Amatsu
, Kenzô Tanaka
, Shin Nakahara
, Tsuneo Ikeda
, Minoru Miyagi
, Takaaki Kadota
, Ichirô Yûki
, Gen Takasugi
, Satoshi Nishida
, Tetsurô Komiyama
, Shûichirô Narita
, Noboru Kasuga
, Kenji Hayashi
, Shôtarô Hayashi
, Shimezô Kataoka
, Fumiya Ozawa
, Kônosuke Takemoto
, Rentarô Mikuni
"
